Year,Power Industry,Buildings,Transport,Other industrial combustion,Other sectors
1970,129.83,218.89,45.46,386.01,125.69
1971,129.83,218.89,45.46,386.01,129.48
1972,140.16,232.02,50.12,409.09,139.29
1973,150.91,238.01,54.41,420.82,147.03
1974,147.72,238.78,58.85,436.38,147.62
1975,176.13,277.62,65.91,509.66,150.42
1976,181.83,282.01,66.91,540.58,155.76
1977,205.15,318.62,74.12,615.02,166.59
1978,269.58,342.29,80.63,679.29,183.98
1979,294.75,349.87,83.7,667.85,197.46
1980,310.09,326.36,79.05,648.33,195.8
1981,309.51,343.76,79.85,623.51,189.51
1982,319.34,355.81,84.01,654.28,203.17
1983,334.54,373.76,89.08,687.6,216.83
1984,364.69,403.23,95.2,755.72,237.12
1985,393.03,422.91,97.95,711.84,245.6
1986,424.44,435.27,106.21,743.41,267.97
1987,473.59,452.69,111.14,792.82,285.61
1988,529.45,484.62,117.78,840.63,303.86
1989,577.68,478.37,122.31,863.28,313.74
1990,639.2,498.41,107.04,831.35,321.5
1991,704.11,499.74,114.33,869.04,345.52
1992,780.4,470.8,125.3,905.14,383.62
1993,890.48,486.26,140.64,968.7,404.26
1994,966.37,469.14,130.44,1019.82,485.23
1995,1058.49,490.61,140.81,1197.35,495.63
1996,1208.35,384.53,188.71,1090.62,494.56
1997,1189.02,451.89,165.66,1100.2,519.28
1998,1259.25,404.87,161.6,1174.13,504.53
1999,1295.18,417.51,178.4,1009.06,535.69
2000,1426.84,354.53,263.57,1042.08,585.1
2001,1506.57,363.7,269.77,1103.08,602.68
2002,1686,379.09,292.61,1140.1,650.52
2003,1996.1,419.47,331.28,1306.03,761.55
2004,2203.91,478.14,387.37,1654.65,833.22
2005,2511.75,505.71,413.23,1927.55,906.52
2006,2837.41,529.69,450.13,2095.37,1053.42
2007,3080.41,545.26,482.49,2360.87,1170.88
2008,3068.41,530.37,520.39,2489.73,1198.37
2009,3227.06,544.14,529.87,2725.63,1339.45
2010,3619.98,572.97,581.55,2933.07,1419.38
2011,4065.73,605.36,634.76,3160.86,1560
2012,4154.02,630.86,698.39,3138.36,1637.46
2013,4394.36,662.88,753.24,3186.61,1721.5
2014,4403.31,675.21,781.54,3177.79,1798.6
2015,4395.7,702.87,836.8,3106.69,1778.73
2016,4511.11,720.77,853.1,2935.94,1945.81
2017,4528.52,744.4,891.84,2972.01,1950.23
2018,4585.522733,779.1690666,941.8527305,3039.47499,1909.858769
